group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
int,1553,H,,4394,565,HALLMARK_UV_RESPONSE_DN,144,15,0.10416666666666667,0.8458890364697262,0.9999972065981355,0.8631554835899696,"c(""Tgfbr3"", ""Dusp1"", ""Add3"", ""Rbpms"", ""Inpp4b"", ""Kit"", ""Igf1r"", ""Prkca"", ""Bhlhe40"", ""Myc"", ""Ldlr"", ""Slc7a1"", ""Lamc1"", ""Serpine1"", ""Aggf1"")"
int,1553,H,,4394,565,HALLMARK_COMPLEMENT,196,20,0.10204081632653061,0.8963797335423789,0.9999972065981355,0.8631554835899696,"c(""Dock10"", ""Cr2"", ""Spock2"", ""Timp2"", ""Cd55"", ""Gnai2"", ""Stx4a"", ""Rasgrp1"", ""Irf2"", ""Pim1"", ""Dpp4"", ""Gata3"", ""Ctsc"", ""Gzmb"", ""Cblb"", ""Lap3"", ""Plscr1"", ""Serpine1"", ""Olr1"", ""Adam9"")"
int,1553,H,,4394,565,HALLMARK_PEROXISOME,103,9,0.08737864077669903,0.9275911300637797,0.9999972065981355,0.8631554835899696,"c(""Cln6"", ""Abcb9"", ""Pex11b"", ""Siah1a"", ""Pex5"", ""Sod2"", ""Acsl5"", ""Smarcc1"", ""Slc25a17"")"
int,1553,H,,4394,565,HALLMARK_APICAL_SURFACE,44,3,0.06818181818181818,0.935098120794632,0.9999972065981355,0.8631554835899696,"c(""Thy1"", ""Gata3"", ""Il2rb"")"
int,1553,H,,4394,565,HALLMARK_ESTROGEN_RESPONSE_LATE,206,20,0.0970873786407767,0.936312688151792,0.9999972065981355,0.8631554835899696,"c(""St6galnac2"", ""Bcl2"", ""Flnb"", ""Mdk"", ""Ass1"", ""Clic3"", ""Tob1"", ""Add3"", ""Sgk1"", ""Myb"", ""Cish"", ""Slc7a5"", ""Slc16a1"", ""Fabp5"", ""Cdc20"", ""Scarb1"", ""Rbbp8"", ""Papss2"", ""Car12"", ""Xrcc3"")"
int,1553,H,,4394,565,HALLMARK_APICAL_JUNCTION,199,19,0.09547738693467336,0.9424714258125454,0.9999972065981355,0.8631554835899696,"c(""Thy1"", ""Icam1"", ""Mvd"", ""Tial1"", ""Mdk"", ""Fyb"", ""Pecam1"", ""Ldlrap1"", ""Gnai2"", ""Rac2"", ""Stx4a"", ""Zyx"", ""Traf1"", ""Actg1"", ""Akt2"", ""Itgb1"", ""Actn4"", ""Adam9"", ""Vcan"")"
int,1553,H,,4394,565,HALLMARK_HEDGEHOG_SIGNALING,36,2,0.05555555555555555,0.9561063554081968,0.9999972065981355,0.8631554835899696,"c(""Thy1"", ""Cdk6"")"
int,1553,H,,4394,565,HALLMARK_KRAS_SIGNALING_UP,203,18,0.08866995073891626,0.9724147161117878,0.9999972065981355,0.8631554835899696,"c(""Gadd45g"", ""Psmb8"", ""Usp12"", ""Pecam1"", ""Cd37"", ""Ptbp2"", ""Sdccag8"", ""Ccser2"", ""Prdm1"", ""Ank"", ""Lif"", ""Traf1"", ""Ccnd2"", ""Akt2"", ""Hbegf"", ""Prelid3b"", ""Irf8"", ""Ero1a"")"
int,1553,H,,4394,565,HALLMARK_PANCREAS_BETA_CELLS,40,2,0.05,0.9724346703366614,0.9999972065981355,0.8631554835899696,"c(""Foxo1"", ""Dpp4"")"
int,1553,H,,4394,565,HALLMARK_SPERMATOGENESIS,135,10,0.07407407407407407,0.9853784178547209,0.9999972065981355,0.8631554835899696,"c(""Camk4"", ""Zpbp"", ""Lpin1"", ""Hspa1l"", ""Tuba3a"", ""Il12rb2"", ""Dbf4"", ""Ezh2"", ""Coil"", ""Hoxb1"")"
int,1553,H,,4394,565,HALLMARK_COAGULATION,139,8,0.05755395683453238,0.9983149201551803,0.9999972065981355,0.8631554835899696,"c(""F2rl2"", ""Usp11"", ""Pecam1"", ""Dpp4"", ""Gng12"", ""Serpine1"", ""Olr1"", ""Adam9"")"
int,1553,H,,4394,565,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,206,13,0.06310679611650485,0.999401456309235,0.9999972065981355,0.8631554835899696,"c(""Tgfbr3"", ""Thy1"", ""Tgm2"", ""Gadd45a"", ""Rhob"", ""Sat1"", ""Dst"", ""Calu"", ""Itgb1"", ""Lamc1"", ""Serpine1"", ""Tnc"", ""Vcan"")"
int,1553,H,,4394,565,HALLMARK_BILE_ACID_METABOLISM,112,3,0.026785714285714284,0.9999736695503005,0.9999972065981355,0.8631554835899696,"c(""Nedd4"", ""Acsl5"", ""Pex19"")"
int,1553,H,,4394,565,HALLMARK_MYOGENESIS,201,9,0.04477611940298507,0.9999878876658357,0.9999972065981355,0.8631554835899696,"c(""Scd2"", ""Notch1"", ""Eif4a2"", ""Lpin1"", ""Hdac5"", ""Akt2"", ""Hbegf"", ""Itgb1"", ""Bhlhe40"")"
int,1553,H,,4394,565,HALLMARK_KRAS_SIGNALING_DN,202,8,0.039603960396039604,0.9999972065981355,0.9999972065981355,0.8631554835899696,"c(""Itgb1bp2"", ""Slc25a23"", ""Arpp21"", ""Zfp112"", ""Sgk1"", ""Ifng"", ""Ptprj"", ""Gtf3c5"")"
