group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,pathway_GOID,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
int,1553,C5,GO:BP,15653,1379,GOBP_VIRAL_LIFE_CYCLE,GO:0019058,313,40,0.12779552715654952,0.010814258376373842,0.16992754245952463,0.15594502877671224,"c(""Nedd4"", ""Bcl2"", ""Icam1"", ""Trim25"", ""Notch1"", ""Cr2"", ""Chmp4c"", ""Srpk2"", ""Nfia"", ""Chmp2b"", ""Trim34a"", ""Trim12c"", ""Ly6e"", ""Grk2"", ""Cd55"", ""Smpd1"", ""Wwp2"", ""Tnfrsf14"", ""Trim5"", ""Vps28"", ""Dynlt1b"", ""Tnip1"", ""F11r"", ""Dag1"", ""Ddx3x"", ""Itgb1"", ""Pcbp1"", ""P4hb"", ""Siva1"", ""Ldlr"", ""Plscr1"", ""Tfrc"", ""Ilf3"", ""Scarb1"", ""Ddb1"", ""Larp1"", ""Ppih"", ""Trim27"", ""Hspa8"", ""Pde12"")"
int,1553,C5,GO:BP,15653,1379,GOBP_DNA_BIOSYNTHETIC_PROCESS,GO:0071897,193,27,0.13989637305699482,0.01090115393712904,0.17069611774724008,0.15665036172995261,"c(""Jade2"", ""Ptk2b"", ""Map3k4"", ""Xrn1"", ""Tk2"", ""Rchy1"", ""Hnrnpd"", ""Gnl3l"", ""Myc"", ""Cct7"", ""Aurkb"", ""Chtf18"", ""Pola1"", ""Rfc5"", ""Hnrnpu"", ""Dkc1"", ""Cct6a"", ""Tcp1"", ""Hsp90aa1"", ""Gar1"", ""Hnrnpa1"", ""Pif1"", ""Lin9"", ""Nat10"", ""Lig3"", ""Polq"", ""Pole2"")"
int,1553,C5,GO:BP,15653,1379,GOBP_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,GO:0006520,276,36,0.13043478260869565,0.011138021855865054,0.17379954937589426,0.15949842701490966,"c(""Slc25a44"", ""Mtr"", ""Sars2"", ""Ass1"", ""Fah"", ""Haao"", ""Dalrd3"", ""Aldh4a1"", ""Aldh6a1"", ""Bphl"", ""Carns1"", ""Acad8"", ""Ctps2"", ""Bcat1"", ""Sephs1"", ""Nars"", ""Shmt2"", ""Shmt1"", ""Pycrl"", ""Cth"", ""Phgdh"", ""Iars"", ""Eprs"", ""Mthfd1"", ""Gart"", ""Cad"", ""Got2"", ""Azin1"", ""Sephs2"", ""Hars"", ""Tars"", ""Enoph1"", ""Ppat"", ""Mars1"", ""Psat1"", ""Got1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_HINDBRAIN_DEVELOPMENT,GO:0030902,149,22,0.1476510067114094,0.011212022321447407,0.17434888689475658,0.16000256221246018,"c(""Bcl2"", ""Mdk"", ""Smad1"", ""Cd3e"", ""Ptbp2"", ""Kcnc1"", ""Ncstn"", ""Lef1"", ""mt-Nd4"", ""mt-Co1"", ""Igf1r"", ""Atf2"", ""Hnrnpd"", ""Ptpn11"", ""Itgb1"", ""Kif14"", ""Ezh2"", ""Gart"", ""Kdm2b"", ""B4galt2"", ""Hoxb1"", ""Arcn1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_REGULATION_OF_SPINDLE_ORGANIZATION,GO:0090224,43,9,0.20930232558139536,0.01129532165533094,0.17503853627261118,0.16063546368633982,"c(""Rae1"", ""Chmp4c"", ""Chmp2b"", ""Cep97"", ""Plk1"", ""Tpx2"", ""Nup62"", ""Hnrnpu"", ""Ccsap"")"
int,1553,C5,GO:BP,15653,1379,GOBP_HISTONE_METHYLATION,GO:0016571,158,23,0.14556962025316456,0.011394855017412652,0.1759741527431356,0.16149409281324933,"c(""Ash2l"", ""Mllt6"", ""Nsd1"", ""Kmt5c"", ""Zfp110"", ""Arid4b"", ""Gata3"", ""Kansl2"", ""Smyd3"", ""Myb"", ""Kmt5a"", ""Nsd2"", ""Smyd5"", ""Ezh2"", ""Bend3"", ""Rrp8"", ""Wdr5"", ""Prmt5"", ""Prmt1"", ""Rif1"", ""Dot1l"", ""Hcfc1"", ""Carm1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,GO:0097193,286,37,0.12937062937062938,0.011524176147640511,0.17696884721893236,0.1624069387027796,"c(""Ubb"", ""Bcl2"", ""Grina"", ""Fbh1"", ""Stk24"", ""Shisa5"", ""Marchf7"", ""Tmbim6"", ""Usp28"", ""Siah1a"", ""Mdm2"", ""Pttg1ip"", ""Tnfrsf1a"", ""Lgals12"", ""Atf2"", ""Sod2"", ""Eno1"", ""Ddx3x"", ""Tnfrsf10b"", ""Hif1a"", ""Tmem109"", ""P4hb"", ""Eif5a"", ""Myc"", ""Bcl2l1"", ""Hyou1"", ""Plagl2"", ""Mybbp1a"", ""Msh6"", ""Brca2"", ""Atad5"", ""Ero1a"", ""Rrp8"", ""Chac1"", ""Aen"", ""Ppm1f"", ""Akt1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY,GO:0000387,36,8,0.2222222222222222,0.011538022304216106,0.17696884721893236,0.1624069387027796,"c(""Lsm4"", ""Prpf31"", ""Prpf3"", ""Prmt5"", ""Gemin5"", ""Snrpb"", ""Snrpd3"", ""Coil"")"
int,1553,C5,GO:BP,15653,1379,GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE,GO:0002381,66,12,0.18181818181818182,0.011798994324737076,0.17974467964531668,0.1649543613356641,"c(""Kmt5c"", ""H2-Ob"", ""B2m"", ""Shld1"", ""Hspd1"", ""Nsd2"", ""Ung"", ""Tfrc"", ""Msh6"", ""Atad5"", ""Exosc3"", ""Rif1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_PROTEIN_N_LINKED_GLYCOSYLATION,GO:0006487,66,12,0.18181818181818182,0.011798994324737076,0.17974467964531668,0.1649543613356641,"c(""Mgat2"", ""B4galt7"", ""Srd5a3"", ""Stt3b"", ""Alg10b"", ""Uggt1"", ""Nus1"", ""Rpn1"", ""Mlec"", ""Tmem165"", ""Alg3"", ""Mogs"")"
